origin,destination,mode,cost_sgd,date
Moscow,Yaroslavl,train,0,15/1/2027
Yaroslavl,Kirov,train,0,15/1/2027
Kirov,Perm,train,0,16/1/2027
Perm,Yekaterinburg,train,0,16/1/2027
Yekaterinburg,Tyumen,train,0,17/1/2027
Tyumen,Omsk,train,0,17/1/2027
Omsk,Novosibirsk,train,0,18/1/2027
Novosibirsk,Krasnoyarsk,train,0,18/1/2027
Krasnoyarsk,Angarsk,train,0,19/1/2027
Angarsk,Irkutsk,train,0,19/1/2027
Irkutsk,Baikalsk,train,0,20/1/2027
Baikalsk,Ulan Ude,train,0,20/1/2027
Ulan Ude, Ulaanbaatar,train,0,21/1/2027
Ulaanbaatar, Ulan Ude,train,0,22/1/2027
Ulan Ude,Chita,train,0,23/1/2027
Chita,Birobidzhan,train,0,24/1/2027
Birobidzhan,Khabarovsk,train,0,26/1/2027
Khabarovsk,Vladivostok,train,0,28/1/2027
