Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id,Cost_sgd
2017-01-02,EK150,Amsterdam / Schiphol (AMS/EHAM),Dubai / Dubai International (DXB/OMDB),21:45:00,07:30:00,06:45:00,Emirates (EK/UAE), (),,,0,0,0,,122,768,807,0,800
2017-01-03,EK352,Dubai / Dubai International (DXB/OMDB),Singapore / Changi (SIN/WSSS),10:15:00,21:45:00,07:30:00,Emirates (EK/UAE), (),,,0,0,0,,768,2672,807,0,400
2017-01-28,TR874,Singapore / Changi (SIN/WSSS),Taipei / Taoyuan (TPE/RCTP),08:10:00,12:45:00,04:35:00,Scoot (TR/TGW),Boeing 787-8 (B788),,,0,0,0,,2672,2996,2695,2087,100
2017-01-31,TR899,Taipei / Taoyuan (TPE/RCTP),Singapore / Changi (SIN/WSSS),16:40:00,21:30:00,04:50:00,Scoot (TR/TGW),Boeing 787-9 (B789),,,0,0,0,,2996,2672,2695,2088,100
2017-07-10,AY132,Singapore / Changi (SIN/WSSS),Helsinki / Vantaa (HEL/EFHK),22:05:00,05:45:00,13:40:00,Finnair (AY/FIN),Airbus A350-900 (A359),,,0,0,0,,2672,1110,304,2110,474.86
2017-07-10,AY991,Helsinki / Vantaa (HEL/EFHK),Keflavik / Keflavik (KEF/BIKF),07:20:00,09:15:00,03:55:00,Finnair (AY/FIN),Airbus A320-200 (A320),,,0,0,0,,1110,1400,304,2059,125.14
2017-07-17,AY992,Keflavik / Keflavik (KEF/BIKF),Helsinki / Vantaa (HEL/EFHK),10:00:00,15:25:00,03:25:00,Finnair (AY/FIN),Airbus A320-200 (A320),,,0,0,0,,1400,1110,304,2059,125.14
2017-07-18,AY131,Helsinki / Vantaa (HEL/EFHK),Singapore / Changi (SIN/WSSS),23:55:00,18:40:00,12:45:00,Finnair (AY/FIN),Airbus A350-900 (A359),,,0,0,0,,1110,2672,304,2110,474.86
2018-12-20,JL38,Singapore / Changi (SIN/WSSS),Tokyo / Haneda (HND/RJTT),1:55:00,9:50:00,6:55:00,Japan Airlines (JL/JAL),Boeing 767 (B767),,,0,0,0,,2672,1152,406,2011,790.65
2018-12-20,JL519,Tokyo / Haneda (HND/RJTT),Sapporo / New Chitose (CTS/RJCC),14:30:00,16:05:00,1:35:00,Japan Airlines (JL/JAL),Airbus A350-900 (A359),,,0,0,0,,1152,631,406,2110,122.35
2019-01-31,JL106,Osaka / Itami (ITM/RJOO),Tokyo / Haneda (HND/RJTT),8:30:00,9:40:00,1:10:00,Japan Airlines (JL/JAL),Boeing 787-8 (B788),,,0,0,0,,1285,1152,406,2087,49.43
2019-01-31,JL37,Tokyo / Haneda (HND/RJTT),Singapore / Changi (SIN/WSSS),11:25:00,17:30:00,7:05:00,Japan Airlines (JL/JAL),Boeing 787-9 (B789),,,0,0,0,,1152,2672,406,2088,648.33
